citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;taste
0.31;1.2;0.048;19.0;125.0;0.98999;3.32;0.54;12.6;6;3340
0.37;1.9;0.072;48.0;159.0;0.9949;3.37;0.7;10.9;6;1064
0.32;1.9;0.036;27.0;119.0;0.99196;3.15;0.49;11.2;6;4062
0.39;2.1;0.055;39.0;198.0;0.9951;3.52;0.54;10.2;6;2077
0.17;2.8;0.04;24.0;125.0;0.9939;3.01;0.46;9.0;5;818
0.3;12.8;0.062;19.0;171.0;0.99808;3.0;0.52;9.0;7;2584
0.49;1.8;0.038;44.0;152.0;0.9912;3.32;0.44;12.6;7;1552
0.37;3.1;0.026;29.0;93.0;0.99035;3.14;0.45;12.2;6;3012
0.42;5.1;0.036;7.0;77.0;0.9939;3.16;0.52;11.7;5;816
0.49;7.0;0.063;50.0;168.0;0.9957;3.54;0.5;10.3;6;1572
0.32;8.8;0.042;18.0;106.0;0.99172;3.28;0.33;12.9;7;3815
0.38;10.5;0.044;33.0;139.0;0.99517;3.06;0.5;10.3;6;4204
0.26;12.5;0.046;48.0;179.0;0.9975;3.1;0.52;9.0;6;381
0.24;4.4;0.027;37.0;150.0;0.991;3.3;0.31;11.5;7;3690
0.26;11.8;0.053;55.0;173.0;0.99699;3.11;0.6;9.8;5;4397
0.35;6.9;0.045;51.0;125.0;0.9933;3.1;0.44;10.7;7;3381
0.3;9.3;0.05;35.0;154.0;0.99581;3.21;0.5;10.4;6;2837
0.31;5.4;0.052;47.0;150.0;0.9953;3.24;0.38;9.8;5;1780
0.48;12.8;0.037;61.5;182.0;0.99808;3.02;0.34;8.8;5;3786
0.29;1.4;0.042;34.0;101.0;0.99384;3.54;0.6;10.5;7;2251
0.0;6.5;0.028;34.0;163.0;0.9937;3.35;0.61;9.9;5;864
0.49;4.9;0.032;3.0;18.0;0.99368;2.85;0.54;10.0;6;3095
0.34;8.9;0.048;32.0;111.0;0.99455;3.25;0.54;11.0;7;3994
0.34;1.6;0.028;32.0;118.0;0.9901;3.0;0.38;12.1;7;554
0.29;16.85;0.054;23.0;135.0;0.9998;3.16;0.38;9.0;6;1159
0.16;1.5;0.049;10.0;97.0;0.9917;3.48;0.44;10.7;6;1213
0.31;18.3;0.046;40.0;142.0;1.0;3.3;0.41;8.7;5;1893
0.37;2.6;0.041;24.0;99.0;0.99153;3.18;0.5;10.9;6;4627
0.26;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;9.8;6;48
0.29;12.2;0.044;59.0;196.0;0.99782;3.14;0.4;8.8;6;3039
0.7;13.1;0.042;29.0;197.0;0.998;3.06;0.64;9.7;5;700
0.34;14.4;0.067;35.0;189.0;0.9986;3.07;0.53;9.1;7;652
0.53;1.2;0.041;42.0;167.0;0.9908;3.11;0.44;11.9;5;3047
0.38;8.1;0.049;44.0;176.0;0.9958;3.3;0.54;9.8;6;748
0.74;11.2;0.069;44.0;150.0;0.9968;3.0;0.81;9.2;5;1455
0.35;10.0;0.035;22.0;108.0;0.99457;3.12;0.36;11.6;6;4587
0.31;3.6;0.046;19.0;143.0;0.99022;3.15;0.34;12.0;8;4118
0.46;9.7;0.054;67.0;234.0;0.99848;3.23;0.5;9.0;5;2892
0.36;1.3;0.036;40.0;117.0;0.9934;3.27;0.95;9.5;7;866
0.42;14.0;0.038;83.0;160.0;0.9987;3.16;0.5;9.4;6;752
0.49;15.55;0.058;50.0;134.0;0.9998;3.42;0.36;9.1;7;1644
0.33;1.7;0.035;47.0;136.0;0.99;3.26;0.4;12.6;7;92
0.32;16.4;0.045;62.0;153.0;0.9972;3.22;0.42;10.5;5;2725
0.23;17.3;0.047;37.0;118.0;0.99906;3.08;0.46;8.8;6;4418
0.31;2.0;0.029;14.0;141.0;0.99077;2.95;0.77;12.2;6;2348
0.34;6.7;0.029;21.0;162.0;0.99497;3.08;0.5;10.6;6;2535
0.49;1.1;0.03;28.0;117.0;0.9918;3.55;0.45;10.3;6;1490
0.36;8.55;0.02;20.0;86.0;0.99146;3.19;0.22;13.4;7;3244
0.35;2.3;0.042;16.0;85.0;0.9906;3.19;0.56;12.4;6;2101
0.27;0.8;0.185;12.0;188.0;0.9924;3.12;0.62;9.4;5;729
0.21;2.9;0.026;48.0;126.0;0.99089;3.22;0.38;11.3;7;2622
0.3;1.3;0.053;24.0;186.0;0.99361;3.29;0.54;9.9;4;2387
0.24;8.5;0.055;45.0;151.0;0.99626;3.2;0.52;9.2;5;4016
0.31;12.0;0.053;46.0;238.0;0.9977;3.16;0.48;8.6;5;1745
0.32;2.5;0.037;10.0;51.0;0.98878;3.04;0.58;12.6;6;4006
0.52;1.4;0.037;32.0;123.0;0.99022;3.24;0.45;12.0;6;3165
0.4;1.2;0.03;19.0;84.0;0.98926;3.19;0.96;13.0;6;4696
0.15;2.0;0.029;27.0;87.0;0.9903;3.3;0.59;12.6;7;1110
0.28;4.2;0.029;7.0;112.0;0.9906;3.0;0.41;12.6;6;3566
0.16;6.4;0.031;21.0;134.0;0.99151;3.24;0.46;12.2;6;3894
0.21;8.2;0.05;51.0;182.0;0.99542;3.23;0.48;9.5;5;4385
0.21;1.9;0.09;44.0;130.0;0.99255;3.07;0.41;9.7;5;4063
0.1;1.3;0.031;20.0;68.0;0.9906;3.36;0.51;11.2;7;346
0.64;11.8;0.065;65.0;225.0;0.9978;3.12;0.51;8.9;5;1185
0.3;12.4;0.054;108.0;152.0;0.99728;3.1;0.47;9.5;6;3869
0.49;1.3;0.039;34.0;136.0;0.9926;3.14;0.77;10.5;6;1515
0.32;1.2;0.042;40.0;98.0;0.9898;3.42;0.64;11.8;7;4578
0.29;2.7;0.038;26.0;107.0;0.9912;3.32;0.41;11.6;7;578
0.29;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;9.5;5;75
0.49;1.5;0.051;18.0;87.0;0.9928;3.3;0.46;9.6;5;1429
0.27;10.3;0.047;54.0;219.0;0.99742;3.04;0.45;8.8;5;3467
0.69;1.2;0.176;36.0;106.0;0.99288;2.96;0.43;9.2;6;4344
0.23;5.1;0.034;71.0;204.0;0.9942;3.23;0.69;10.1;5;2655
0.35;2.5;0.048;67.0;161.0;0.99146;3.05;0.56;11.1;6;4850
0.32;7.6;0.038;48.0;203.0;0.9958;3.45;0.54;9.7;7;131
0.07;1.2;0.06;9.0;108.0;0.9931;3.11;0.35;8.7;4;178
0.32;1.6;0.036;34.0;114.0;0.99068;3.19;0.45;11.4;7;2798
0.5;11.4;0.029;25.0;93.0;0.99428;3.23;0.49;10.5;6;4747
0.34;13.7;0.044;66.0;184.0;0.99976;3.22;0.75;8.9;5;2710
0.34;7.6;0.045;25.0;118.0;0.99222;3.03;0.37;11.0;6;4859
0.31;11.8;0.039;96.0;249.0;0.9976;3.07;0.52;9.5;6;1842
0.35;1.6;0.047;43.0;154.0;0.9934;3.36;0.69;11.1;6;2002
0.15;10.0;0.037;38.0;157.0;0.99642;3.28;0.52;9.4;5;2450
0.57;1.0;0.043;50.0;92.0;0.99004;3.17;0.36;11.5;6;4842
0.49;1.5;0.052;34.0;134.0;0.9924;2.99;0.61;9.8;6;604
0.5;13.7;0.049;56.0;189.0;0.9994;3.24;0.66;9.0;6;1919
0.32;9.0;0.046;56.0;245.0;0.9955;3.25;0.5;10.4;6;25
0.25;3.1;0.052;41.0;188.0;0.9915;3.24;0.4;11.3;5;658
0.38;9.1;0.044;35.0;127.0;0.99326;2.97;0.3;11.0;7;3203
0.22;17.8;0.034;16.0;116.0;0.9989;3.07;0.53;9.2;5;4032
0.43;4.55;0.038;31.0;130.0;0.9918;3.35;0.33;11.5;7;173
0.49;5.2;0.04;19.0;100.0;0.9941;3.12;0.34;10.1;6;1611
0.32;1.4;0.035;49.0;186.0;0.9906;3.35;0.64;12.4;8;437
0.34;4.6;0.032;37.0;135.0;0.9927;3.2;0.39;10.6;5;331
0.27;10.9;0.038;29.0;130.0;0.99496;3.11;0.44;10.5;7;2992
0.49;19.8;0.054;50.0;231.0;1.0012;2.99;0.54;9.2;5;1454
0.42;9.7;0.044;30.0;140.0;0.9962;3.18;0.47;9.1;6;342
0.38;3.2;0.031;20.0;89.0;0.98956;3.06;0.33;12.0;7;3089
0.33;10.4;0.031;47.0;194.0;0.99692;3.07;0.58;9.6;6;2458
0.37;16.95;0.048;43.0;190.0;0.9995;3.03;0.42;9.2;6;1088
0.33;1.7;0.041;67.0;164.0;0.9928;3.32;0.56;10.4;6;479
0.34;8.0;0.057;19.0;101.0;0.9954;2.99;0.59;9.4;5;727
0.17;17.75;0.06;51.0;190.0;0.99916;3.13;0.48;8.8;6;3651
0.3;4.9;0.058;47.0;131.0;0.9946;3.51;0.45;10.3;6;976
0.27;11.8;0.048;28.0;112.0;0.99606;2.87;0.49;9.7;6;4289
0.5;6.6;0.045;30.0;122.0;0.99415;3.22;0.49;9.9;6;4425
0.24;1.6;0.046;15.0;60.0;0.9928;3.19;0.39;9.8;5;1468
0.39;2.3;0.033;29.0;102.0;0.9908;3.26;0.54;12.3;7;1224
0.27;17.4;0.064;29.0;140.0;0.99776;3.2;0.49;10.1;6;3795
0.31;1.2;0.026;31.0;68.0;0.9898;3.33;0.44;11.6333333333333;6;4734
0.28;4.75;0.042;45.0;166.0;0.9928;2.96;0.4;11.5;5;1299
0.27;4.3;0.03;43.0;123.0;0.99212;3.16;0.33;11.2;6;3541
0.3;2.1;0.047;35.0;147.0;0.9886;3.24;0.56;13.4;6;4510
0.26;1.9;0.049;12.0;86.0;0.9934;3.15;0.38;9.4;5;660
0.29;16.4;0.058;45.0;110.0;0.9978;3.15;0.37;9.7;6;3833
0.26;2.8;0.036;44.0;132.0;0.99078;3.34;0.41;12.0;7;2311
0.36;2.6;0.029;28.0;98.0;0.99126;3.11;0.37;11.2;7;2685
0.33;1.7;0.037;35.0;113.0;0.99164;3.23;0.66;10.6;6;4177
0.57;1.0;0.062;21.0;122.0;0.99238;3.0;0.4;9.5;5;4001
0.31;10.7;0.038;59.0;186.0;0.9969;3.12;0.55;9.5;6;2114
0.31;1.2;0.016;39.0;150.0;0.98713;3.33;0.59;14.0;8;2945
0.07;6.9;0.043;34.0;149.0;0.9944;3.34;0.57;9.7;5;267
0.32;1.2;0.024;20.0;166.0;0.99208;3.05;0.54;9.8;6;2692
0.29;12.7;0.05;25.0;209.0;0.9986;3.25;0.59;9.3;6;2330
0.2;16.0;0.044;41.0;113.0;0.99862;3.22;0.46;8.9;6;4275
0.38;2.8;0.144;12.0;65.0;0.9908;2.95;0.64;11.4;6;3902
0.25;3.4;0.024;27.0;99.0;0.98959;2.98;0.37;13.0;6;3540
0.29;1.0;0.031;40.0;123.0;0.98958;3.12;0.4;12.1;7;3595
0.51;1.2;0.029;10.0;102.0;0.9903;3.46;0.42;11.9;6;3082
0.36;4.9;0.083;10.0;133.0;0.9942;3.33;0.37;10.8;6;1278
0.37;9.1;0.037;16.0;76.0;0.9948;3.05;0.54;11.1;5;4549
0.24;1.3;0.044;38.0;128.0;0.99362;3.77;0.6;10.6;5;2964
0.49;1.6;0.05;17.0;131.0;0.9956;3.13;0.34;9.4;5;1621
0.18;8.2;0.042;41.0;180.0;0.99644;3.16;0.49;9.1;5;2240
0.26;5.1;0.039;19.0;103.0;0.99478;3.36;0.47;9.3;6;2758
0.67;8.1;0.037;53.0;166.0;0.9966;2.9;0.41;8.9;6;1896
0.52;8.2;0.047;52.0;191.0;0.99541;3.16;0.47;9.5;6;3789
0.31;1.0;0.031;22.0;73.0;0.99035;3.24;0.52;11.3;6;2908
0.34;2.6;0.049;13.0;135.0;0.99335;3.09;0.51;10.0;5;2732
0.13;1.2;0.041;81.0;174.0;0.992;3.14;0.42;9.8;5;67
0.22;4.8;0.052;49.0;142.0;0.9946;3.14;0.62;9.2;5;3834
0.34;1.4;0.029;29.0;133.0;0.99108;3.33;0.64;11.5;7;3504
0.21;9.5;0.07;33.0;172.0;0.9971;3.0;0.55;9.1;6;221
0.34;9.9;0.038;30.0;133.0;0.9954;3.11;0.44;9.8;5;333
0.46;1.1;0.032;33.0;115.0;0.9909;3.36;0.5;10.4;6;2865
0.3;5.4;0.043;41.0;149.0;0.9926;3.33;0.42;10.8;7;3658
0.28;4.9;0.03;29.0;98.0;0.99024;3.09;0.58;12.8;7;4094
0.39;2.3;0.033;29.0;102.0;0.9908;3.26;0.54;12.3;7;1226
0.26;5.55;0.051;51.0;139.0;0.99336;3.47;0.5;11.0;6;3372
0.61;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;8.7;5;88
0.3;11.2;0.046;53.0;149.0;0.99479;3.21;0.34;10.8;5;2533
0.24;1.7;0.052;36.0;135.0;0.99374;3.8;0.66;10.8;6;2771
0.22;8.8;0.052;24.0;113.0;0.99576;3.22;0.45;9.4;5;3437
0.25;3.3;0.04;10.0;69.0;0.9934;3.54;0.59;10.1;6;319
0.36;1.3;0.034;32.0;98.0;0.99058;3.02;0.58;11.3;6;4049
0.29;14.45;0.057;29.0;144.0;0.99756;3.33;0.54;10.2;6;2648
0.18;11.6;0.044;61.0;155.0;0.99655;3.14;0.52;9.4;6;3670
0.71;1.3;0.16;44.0;149.0;0.9948;3.08;0.42;8.9;5;2025
0.27;6.6;0.054;40.0;158.0;0.99378;3.2;0.48;10.3;5;4467
0.28;2.7;0.053;16.0;92.0;0.99372;3.18;0.56;9.3;5;4371
0.34;2.0;0.037;40.0;108.0;0.98948;3.19;0.5;12.3;6;4187
0.29;11.8;0.035;21.0;93.0;0.99364;3.18;0.34;11.9;6;3233
0.3;1.6;0.048;27.0;131.0;0.9933;3.25;0.45;10.5;5;1143
0.4;1.5;0.037;35.0;107.0;0.9917;3.46;0.5;11.4;6;397
0.22;4.5;0.031;10.0;73.0;0.99076;2.97;0.52;12.2;7;3646
0.31;19.25;0.043;38.0;167.0;0.99954;2.93;0.52;9.1;7;4691
0.26;1.6;0.04;36.0;123.0;0.99238;3.34;0.44;10.8;6;2805
0.31;10.5;0.035;36.0;122.0;0.99478;3.12;0.4;10.6;6;4728
0.25;1.1;0.033;15.0;86.0;0.99044;2.98;0.39;11.2;8;2663
0.36;13.1;0.05;35.0;200.0;0.9986;3.04;0.46;8.9;7;1398
0.49;7.7;0.049;53.0;217.0;0.996;3.16;0.4;9.3;5;1659
0.32;1.4;0.065;23.0;140.0;0.99134;3.06;0.47;11.4;6;3279
0.26;8.8;0.04;44.0;139.0;0.9956;3.32;0.37;10.2;6;1096
0.3;8.7;0.036;47.0;127.0;0.99368;3.18;0.39;10.6;5;3899
0.4;2.0;0.038;28.0;152.0;0.9906;3.18;0.32;12.9;6;1741
0.39;3.9;0.034;22.0;122.0;0.9917;3.29;0.67;12.8;7;1350
0.36;1.4;0.045;11.0;119.0;0.99556;3.17;0.47;9.4;4;2503
0.71;1.6;0.15;10.0;54.0;0.9927;3.12;0.47;9.8;5;979
0.3;15.6;0.054;51.0;196.0;0.9982;3.19;0.49;9.3;5;283
0.23;3.1;0.052;15.0;104.0;0.9948;3.14;0.42;8.7;5;1736
