fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;alcohol;quality;taste
8.2;0.23;0.37;1.3;0.042;39.0;117.0;10.0;5;953
5.4;0.595;0.1;2.8;0.042;26.0;80.0;9.3;5;926
6.5;0.28;0.34;4.6;0.054;22.0;130.0;12.0;7;4823
6.4;0.26;0.49;6.4;0.037;37.0;161.0;9.7;6;1625
8.0;0.23;0.46;1.5;0.03;30.0;125.0;12.5;6;1209
6.4;0.25;0.3;5.5;0.038;15.0;129.0;9.6;6;735
7.6;0.445;0.44;14.5;0.045;68.0;212.0;10.0;6;1727
7.0;0.24;0.3;4.2;0.04;41.0;213.0;11.8;6;1692
6.9;0.18;0.38;8.1;0.049;44.0;176.0;9.8;6;760
9.1;0.59;0.38;1.6;0.066;34.0;182.0;8.5;3;294
6.2;0.16;0.47;1.4;0.029;23.0;81.0;12.2;6;1391
7.2;0.4;0.24;8.5;0.055;45.0;151.0;9.2;5;4022
8.4;0.22;0.28;18.8;0.028;55.0;130.0;11.6;5;2164
5.9;0.33;0.32;8.1;0.038;9.0;34.0;12.7;7;3141
5.7;0.26;0.24;17.8;0.059;23.0;124.0;10.1;5;4290
6.1;0.125;0.25;3.3;0.04;10.0;69.0;10.1;6;319
6.4;0.28;0.44;7.1;0.048;49.0;179.0;9.2;5;3535
6.1;0.3;0.56;2.7;0.046;46.0;184.0;10.9;6;129
7.5;0.29;0.31;8.95;0.055;20.0;151.0;9.3;5;168
7.2;0.23;0.33;12.7;0.049;50.0;183.0;9.8;5;2033
7.4;0.28;0.36;14.6;0.048;35.0;161.0;10.6;5;3576
5.4;0.53;0.16;2.7;0.036;34.0;128.0;13.2;8;3665
8.2;0.26;0.44;1.3;0.046;7.0;69.0;10.2;4;991
6.5;0.3;0.32;2.0;0.044;34.0;90.0;11.0;7;887
8.2;0.61;0.45;5.4;0.03;15.0;118.0;9.6;5;1180
8.8;0.2;0.43;15.0;0.053;60.0;184.0;8.8;6;1807
7.6;0.52;0.49;14.0;0.034;37.0;156.0;11.8;7;1470
6.2;0.35;0.03;1.2;0.064;29.0;120.0;9.1;5;65
6.5;0.3;0.27;4.0;0.038;37.0;97.0;12.6;8;3480
7.3;0.26;0.36;5.2;0.04;31.0;141.0;11.0;6;512
6.6;0.23;0.3;4.6;0.06;29.0;154.0;12.2;8;3276
7.4;0.23;0.43;1.4;0.044;22.0;113.0;10.6;6;1167
8.1;0.2;0.49;11.8;0.048;46.0;212.0;10.0;7;1609
6.6;0.3;0.74;4.6;0.041;36.0;159.0;9.9;5;1570
6.1;0.28;0.27;4.7;0.03;56.0;140.0;12.5;8;3386
7.9;0.21;0.39;2.0;0.057;21.0;138.0;10.9;5;3812
6.7;0.34;0.3;15.6;0.054;51.0;196.0;9.3;5;283
6.5;0.29;0.25;10.6;0.039;32.0;120.0;10.1;6;1098
6.4;0.22;0.34;1.8;0.057;29.0;104.0;10.3;6;1255
7.2;0.23;0.19;13.7;0.052;47.0;197.0;9.0;5;777
6.2;0.18;0.38;1.5;0.028;36.0;117.0;9.7;6;485
7.2;0.24;0.28;1.9;0.032;30.0;92.0;10.9;6;3536
5.5;0.335;0.3;2.5;0.071;27.0;128.0;9.6;6;352
7.3;0.36;0.34;14.8;0.057;46.0;173.0;10.2;5;3921
7.4;0.27;0.26;11.8;0.053;55.0;173.0;9.8;5;4398
6.8;0.25;0.29;2.0;0.042;19.0;189.0;10.2;6;1177
7.1;0.17;0.4;14.55;0.047;47.0;156.0;9.1;6;3430
7.3;0.155;0.49;1.3;0.039;34.0;136.0;10.5;6;1515
6.8;0.17;0.17;5.1;0.049;26.0;82.0;9.8;6;4527
6.8;0.31;0.32;7.6;0.052;35.0;143.0;9.0;5;1941
5.7;0.25;0.27;11.5;0.04;24.0;120.0;10.8;6;4133
8.7;0.3;0.34;4.8;0.018;23.0;127.0;11.2;7;3637
5.8;0.2;0.16;1.4;0.042;44.0;99.0;12.2;6;4264
6.8;0.32;0.3;3.3;0.029;15.0;80.0;12.6;7;2313
6.7;0.265;0.22;8.6;0.048;54.0;198.0;10.2;5;1693
7.3;0.24;0.29;1.2;0.037;37.0;97.0;10.1;6;869
5.7;0.29;0.16;7.9;0.044;48.0;197.0;9.4;5;4408
6.2;0.28;0.28;4.3;0.026;22.0;105.0;13.1;8;3422
6.6;0.38;0.15;4.6;0.044;25.0;78.0;10.2;6;58
7.0;0.29;0.49;3.8;0.047;37.0;136.0;9.4;6;1600
5.6;0.23;0.25;8.0;0.043;31.0;101.0;10.4;6;3983
7.3;0.25;0.26;7.2;0.048;52.0;207.0;9.2;5;3867
6.7;0.42;0.46;9.7;0.054;67.0;234.0;9.0;5;2897
9.5;0.21;0.47;1.3;0.039;21.0;123.0;9.5;5;1961
7.2;0.16;0.32;0.8;0.04;50.0;121.0;10.0;6;1340
6.5;0.23;0.36;16.3;0.038;43.0;133.0;8.8;5;2703
6.6;0.32;0.26;7.7;0.054;56.0;209.0;8.8;5;1766
7.6;0.27;0.3;9.2;0.018;23.0;96.0;11.0;6;3782
7.5;0.38;0.29;12.7;0.05;25.0;209.0;9.3;6;2330
6.7;0.3;0.29;2.8;0.025;37.0;107.0;11.3;7;2603
8.3;0.23;0.43;3.2;0.035;14.0;101.0;11.5;5;965
7.1;0.13;0.38;1.8;0.046;14.0;114.0;11.7;6;974
8.1;0.33;0.36;7.4;0.037;36.0;156.0;10.6;6;2456
6.2;0.43;0.49;6.4;0.045;12.0;115.0;9.0;4;1558
6.4;0.14;0.28;7.9;0.057;21.0;82.0;10.0;6;4097
5.0;0.33;0.16;1.5;0.049;10.0;97.0;10.7;6;1204
7.6;0.54;0.23;2.0;0.029;13.0;151.0;10.4;5;1341
7.3;0.17;0.36;8.2;0.028;44.0;111.0;12.4;6;4662
7.9;0.28;0.49;7.7;0.045;48.0;195.0;11.0;6;1527
6.4;0.27;0.32;4.5;0.24;61.0;174.0;9.4;5;683
6.15;0.21;0.37;3.2;0.021;20.0;80.0;12.0;5;2614
6.0;0.23;0.15;9.7;0.048;101.0;207.0;9.1;5;3520
7.6;0.32;0.25;9.5;0.03;15.0;136.0;12.1;6;2682
8.3;0.2;0.74;4.45;0.044;33.0;130.0;12.2;6;1457
6.4;0.29;0.44;3.6;0.197;75.0;183.0;9.1;5;196
6.6;0.15;0.32;6.0;0.033;59.0;128.0;12.1;8;3449
6.4;0.38;0.24;7.2;0.047;41.0;151.0;9.2;5;3606
7.2;0.31;0.5;13.3;0.056;68.0;195.0;9.2;5;118
6.3;0.28;0.34;8.1;0.038;44.0;129.0;12.1;6;4221
6.7;0.22;0.37;1.6;0.028;24.0;102.0;11.6;7;440
7.6;0.22;0.34;9.7;0.035;26.0;143.0;9.8;6;951
6.6;0.22;0.37;1.6;0.04;31.0;101.0;12.0;5;4171
6.0;0.28;0.52;5.0;0.078;30.0;139.0;9.0;6;2949
7.4;0.2;0.36;1.2;0.038;44.0;111.0;9.9;6;59
6.5;0.22;0.45;8.0;0.053;52.0;196.0;9.1;6;2836
6.6;0.38;0.18;1.2;0.042;20.0;84.0;10.1;4;702
6.7;0.19;0.39;1.0;0.032;14.0;71.0;13.0;7;2814
5.9;0.18;0.28;1.0;0.037;24.0;88.0;10.65;7;4646
6.7;0.18;0.25;14.3;0.048;79.0;149.0;9.7;5;4523
7.2;0.28;0.38;2.0;0.052;23.0;156.0;11.1;5;3811
6.5;0.23;0.25;17.3;0.046;15.0;110.0;9.2;6;2543
6.9;0.19;0.28;3.0;0.054;33.0;99.0;10.8;6;1774
5.1;0.21;0.28;1.4;0.047;48.0;148.0;10.4;5;3319
7.5;0.38;0.29;4.9;0.021;38.0;113.0;13.0;7;2963
5.9;0.19;0.26;7.4;0.034;33.0;123.0;10.1;6;1390
6.7;0.32;0.32;1.7;0.031;31.0;114.0;12.5;6;4463
6.3;0.27;0.23;2.9;0.047;13.0;100.0;9.8;5;925
6.5;0.41;0.22;4.8;0.052;49.0;142.0;9.2;5;3834
6.6;0.23;0.2;11.4;0.044;45.0;131.0;9.7;6;2978
8.0;0.17;0.29;2.4;0.029;52.0;119.0;12.9;6;2680
6.7;0.31;0.32;14.5;0.038;6.0;79.0;12.5;5;3232
6.5;0.22;0.19;4.5;0.096;16.0;115.0;9.6;5;4370
6.4;0.27;0.49;7.3;0.046;53.0;206.0;9.2;6;1595
6.3;0.27;0.18;7.7;0.048;45.0;186.0;9.0;5;2253
6.7;0.44;0.22;4.3;0.032;19.0;99.0;12.8;7;2745
6.7;0.33;0.34;6.6;0.067;35.0;156.0;9.3;6;2660
6.5;0.26;0.5;8.0;0.051;46.0;197.0;9.5;5;3791
7.1;0.17;0.43;1.3;0.023;33.0;132.0;11.7;6;3048
6.2;0.36;0.45;10.4;0.06;22.0;184.0;9.8;6;3475
7.4;0.26;0.43;6.0;0.022;22.0;125.0;11.5;6;883
6.0;0.27;0.15;1.5;0.056;35.0;128.0;8.8;5;2103
6.4;0.29;0.21;9.65;0.041;36.0;119.0;10.9333333333333;6;4364
7.4;0.16;0.27;15.5;0.05;25.0;135.0;8.7;7;4053
5.7;0.41;0.21;1.9;0.048;30.0;112.0;11.2;6;4866
7.2;0.23;0.46;6.4;0.036;17.0;85.0;11.7;6;3532
6.4;0.31;0.5;5.8;0.038;42.0;111.0;11.9;7;4803
6.5;0.41;0.22;4.8;0.052;49.0;142.0;9.2;5;3838
7.8;0.24;0.32;12.2;0.054;42.0;138.0;8.8;5;121
7.6;0.3;0.27;10.6;0.039;31.0;119.0;9.3;6;789
6.9;0.35;0.74;1.0;0.044;18.0;132.0;10.2;5;1418
8.9;0.32;0.49;1.6;0.05;17.0;131.0;9.4;5;1627
6.7;0.24;0.41;2.9;0.039;48.0;122.0;12.0;5;3073
8.0;0.37;0.31;4.7;0.038;3.0;127.0;12.1;5;3995
6.7;0.26;0.49;8.3;0.047;54.0;191.0;10.3;6;1661
7.8;0.21;0.49;1.2;0.036;20.0;99.0;12.1;7;1647
6.0;0.24;0.28;3.95;0.038;61.0;134.0;11.3;7;3496
5.6;0.28;0.28;4.2;0.044;52.0;158.0;10.7;7;3593
5.2;0.24;0.15;7.1;0.043;32.0;134.0;9.9;6;4718
6.7;0.54;0.27;7.1;0.049;8.0;178.0;9.4;4;2531
7.7;0.3;0.42;14.3;0.045;45.0;213.0;9.2;5;1880
6.5;0.32;0.3;2.3;0.051;20.0;127.0;12.8;6;3281
8.3;0.15;0.39;1.3;0.055;32.0;146.0;10.5;6;1009
5.4;0.24;0.18;2.3;0.05;22.0;145.0;10.3;5;3956
6.8;0.27;0.29;4.6;0.046;6.0;88.0;10.6;4;3021
7.0;0.21;0.42;5.3;0.037;36.0;123.0;10.9;6;3195
7.2;0.37;0.4;11.6;0.032;34.0;214.0;9.8;6;3418
7.3;0.23;0.34;9.3;0.052;19.0;86.0;10.0;5;2851
6.9;0.38;0.29;13.65;0.048;52.0;189.0;9.5;6;3336
7.7;0.28;0.33;6.7;0.037;32.0;155.0;10.7;7;978
7.9;0.16;0.3;4.8;0.037;37.0;171.0;9.0;4;1154
7.6;0.3;0.37;1.6;0.087;27.0;177.0;9.8;5;3699
6.4;0.39;0.21;1.2;0.041;35.0;136.0;10.2;5;725
7.1;0.31;0.25;11.2;0.048;32.0;136.0;9.5;5;4363
6.1;0.15;0.4;1.2;0.03;19.0;84.0;13.0;6;4696
5.4;0.185;0.19;7.1;0.048;36.0;110.0;9.5;6;3966
7.1;0.3;0.49;1.6;0.045;31.0;100.0;10.2;5;1648
7.7;0.44;0.24;11.2;0.031;41.0;167.0;11.3;7;1829
6.7;0.3;0.44;18.5;0.057;65.0;224.0;9.1;5;3438
7.0;0.24;0.34;1.4;0.031;27.0;107.0;11.9;6;918
6.9;0.18;0.36;1.3;0.036;40.0;117.0;9.5;7;854
5.6;0.34;0.25;2.5;0.046;47.0;182.0;11.3;5;4843
6.1;0.15;0.35;15.8;0.042;55.0;158.0;10.6;5;2641
6.8;0.64;0.08;9.7;0.062;26.0;142.0;8.9;4;230
6.4;0.36;0.2;5.7;0.118;61.0;172.0;9.5;6;3629
5.1;0.42;0.01;1.5;0.017;25.0;102.0;12.3;7;970
6.4;0.55;0.26;9.6;0.027;20.0;104.0;13.1;6;4552
7.0;0.22;0.24;11.0;0.041;75.0;167.0;10.5;6;3510
6.4;0.33;0.31;5.5;0.048;42.0;173.0;9.3;6;180
6.1;0.28;0.24;19.95;0.074;32.0;174.0;9.3;6;2492
6.2;0.3;0.28;1.6;0.036;28.0;106.0;13.3;6;3931
7.4;0.26;0.32;3.7;0.032;29.0;193.0;12.5;6;4151
5.8;0.29;0.15;1.1;0.029;12.0;83.0;11.4;6;4570
5.2;0.25;0.23;1.4;0.047;20.0;77.0;11.4;5;4853
6.1;0.16;0.34;6.1;0.034;31.0;114.0;10.15;7;4667
5.6;0.42;0.34;2.4;0.022;34.0;97.0;12.8;7;3202
5.9;0.415;0.02;0.8;0.038;22.0;63.0;9.3;5;1415
7.3;0.42;0.38;6.8;0.045;29.0;122.0;12.6;7;1297
7.9;0.64;0.46;10.6;0.244;33.0;227.0;9.1;3;1034
7.6;0.23;0.49;10.0;0.036;45.0;182.0;9.6;6;1556
6.0;0.28;0.24;17.8;0.047;42.0;111.0;8.9;6;3881
7.3;0.32;0.25;7.2;0.056;47.0;180.0;8.8;5;285
6.7;0.36;0.28;8.3;0.034;29.0;81.0;12.5;6;3358
6.0;0.36;0.16;6.3;0.036;36.0;191.0;9.8;5;692
6.0;0.14;0.37;1.2;0.032;63.0;148.0;11.2;5;4750
6.8;0.18;0.28;9.8;0.039;29.0;113.0;10.9;7;2999
6.9;0.38;0.29;13.65;0.048;52.0;189.0;9.5;6;3344
7.2;0.4;0.62;10.8;0.041;70.0;189.0;8.6;4;499
7.9;0.14;0.74;1.2;0.028;30.0;165.0;12.3;6;1590
6.4;0.35;0.28;1.1;0.055;9.0;160.0;9.1;7;812
7.0;0.14;0.41;0.9;0.037;22.0;95.0;10.9;6;1366
7.5;0.18;0.37;6.2;0.05;21.0;138.0;10.5;6;3028
7.8;0.3;0.4;1.8;0.028;23.0;122.0;10.9;7;724
6.7;0.47;0.34;8.9;0.043;31.0;172.0;9.2;5;483
7.6;0.32;0.58;16.75;0.05;43.0;163.0;9.2;5;2178
6.5;0.29;0.53;1.7;0.04;41.0;192.0;10.4;7;3978
7.7;0.15;0.29;1.3;0.029;10.0;64.0;10.1;5;874
6.3;0.25;0.22;3.3;0.048;41.0;161.0;10.5;6;2825
6.4;0.105;0.29;1.1;0.035;44.0;140.0;10.7;7;4801
7.5;0.3;0.32;1.4;0.032;31.0;161.0;10.5;5;2331
7.1;0.21;0.32;2.2;0.037;28.0;141.0;10.0;7;880
5.7;0.36;0.34;4.2;0.026;21.0;77.0;11.9;6;983
7.4;0.26;0.31;2.4;0.043;58.0;178.0;10.6;6;2004
6.15;0.21;0.37;3.2;0.021;20.0;80.0;12.0;5;2624
6.8;0.32;0.34;6.0;0.05;5.0;129.0;9.1;5;2105
7.3;0.24;0.41;13.6;0.05;41.0;178.0;9.7;5;1887
6.8;0.27;0.28;7.8;0.038;26.0;89.0;12.5;6;4134
5.8;0.34;0.16;7.0;0.037;26.0;116.0;10.0;7;788
7.5;0.32;0.24;4.6;0.053;8.0;134.0;9.1;3;1484
6.6;0.24;0.38;12.75;0.034;8.0;74.0;12.9;6;3221
7.8;0.26;0.44;1.3;0.037;43.0;132.0;10.0;5;1077
7.1;0.18;0.26;1.3;0.041;20.0;71.0;9.9;6;1911
6.1;0.14;0.25;1.3;0.047;37.0;173.0;10.0;6;668
7.5;0.14;0.74;1.6;0.035;21.0;126.0;10.2;6;1635
6.2;0.31;0.23;3.3;0.052;34.0;113.0;8.4;5;3839
6.1;0.34;0.46;4.7;0.029;21.0;94.0;12.3;6;1844
5.8;0.24;0.39;1.5;0.054;37.0;158.0;9.3;6;254
6.2;0.28;0.45;7.5;0.045;46.0;203.0;9.2;6;2510
8.0;0.19;0.36;1.8;0.05;16.0;84.0;9.8;7;1000
6.0;0.14;0.37;1.2;0.032;63.0;148.0;11.2;5;4743
7.2;0.18;0.45;4.4;0.046;57.0;166.0;11.2;6;707
6.6;0.27;0.52;8.1;0.044;53.0;202.0;9.5;5;3788
6.4;0.29;0.18;15.0;0.04;21.0;116.0;9.2;5;4235
6.8;0.73;0.2;6.6;0.054;25.0;65.0;11.1;4;3879
8.6;0.26;0.41;2.2;0.049;29.0;111.0;10.0;5;1055
7.0;0.23;0.42;18.05;0.05;35.0;144.0;8.8;5;630
5.2;0.405;0.15;1.45;0.038;10.0;44.0;11.6;4;4839
6.0;0.33;0.26;5.1;0.051;16.0;119.0;9.2;5;4255
6.2;0.24;0.27;2.9;0.039;30.0;123.0;12.8;6;4362
6.4;0.31;0.4;6.4;0.039;39.0;191.0;9.8;5;2501
7.1;0.26;0.32;14.45;0.074;29.0;107.0;9.2;6;1192
6.4;0.17;0.34;1.5;0.093;43.0;136.0;9.6;6;2393
6.5;0.33;0.3;3.8;0.036;34.0;88.0;12.5;7;3905
6.5;0.18;0.48;18.0;0.054;56.0;183.0;8.5;6;4014
7.8;0.17;0.23;1.7;0.029;39.0;128.0;10.7;7;2627
6.9;0.19;0.33;1.6;0.043;63.0;149.0;10.8;5;984
6.4;0.41;0.01;6.1;0.048;20.0;70.0;10.0;5;4061
7.1;0.47;0.29;14.8;0.024;22.0;142.0;12.0;8;3029
6.0;0.24;0.41;1.3;0.036;42.0;118.0;11.7333333333333;6;4637
7.1;0.2;0.31;6.85;0.053;32.0;211.0;10.4;6;2782
6.5;0.22;0.31;3.9;0.046;17.0;106.0;11.5;5;3927
7.1;0.365;0.14;1.2;0.055;24.0;84.0;8.9;5;361
6.8;0.37;0.47;11.2;0.071;44.0;136.0;9.2;5;1016
7.6;0.27;0.25;13.9;0.05;45.0;199.0;9.8;6;1866
7.4;0.29;0.5;1.8;0.042;35.0;127.0;10.2;7;719
8.3;0.18;0.37;1.2;0.049;6.0;94.0;10.1;5;4537
5.0;0.3;0.33;3.7;0.03;54.0;173.0;13.0;7;3008
6.5;0.16;0.34;1.4;0.029;29.0;133.0;11.5;7;3504
6.5;0.44;0.49;7.7;0.045;16.0;169.0;8.7;6;1622
6.0;0.33;0.27;0.8;0.185;12.0;188.0;9.4;5;729
6.0;0.39;0.26;2.7;0.038;39.0;187.0;10.8;6;714
7.3;0.19;0.25;1.4;0.051;41.0;107.0;10.5;7;2274
6.2;0.3;0.26;13.4;0.046;57.0;206.0;9.5;6;809
5.8;0.54;0.0;1.4;0.033;40.0;107.0;12.4;5;3454
6.0;0.23;0.15;9.7;0.048;101.0;207.0;9.1;5;3523
7.4;0.41;0.66;10.8;0.051;77.0;194.0;8.7;5;570
7.8;0.27;0.58;11.2;0.036;44.0;161.0;8.9;6;805
6.0;0.24;0.34;1.0;0.036;52.0;184.0;11.45;6;4684
6.7;0.5;0.38;7.5;0.046;26.0;175.0;9.6;5;2546
5.7;0.22;0.22;16.65;0.044;39.0;110.0;9.0;6;3558
6.8;0.29;0.34;3.5;0.054;26.0;189.0;10.4;5;3036
6.2;0.44;0.18;7.7;0.096;28.0;210.0;9.2;5;2424
6.7;0.12;0.36;2.3;0.039;43.0;125.0;10.1;7;3282
